fecha,municipio,pm10,pm25,o3,precipitacion,humedadrelativa,temperatura,dia_semana
2015-12-24 00:00:00,129,58.1158718002397,27.1,85.8196625,0,58.2,22.4,4
2015-12-24 00:00:00,212,37.67,,,0,68.3,23.1,4
2015-12-24 00:00:00,266,,,,0,58.2,22.4,4
2015-12-24 00:00:00,308,59,23.8,39.565575,0,68.3,23.1,4
2015-12-24 00:00:00,360,68.9700367965171,26.7058296018395,61.4754125,0,58.2,22.4,4
2015-12-24 00:00:00,380,50.3471932551639,40.2,,0,58.2,22.4,4
2015-12-24 00:00:00,631,49,,,0,58.2,22.4,4
2015-12-23 00:00:00,1,71.7087936201885,34.9534227122983,61.2163986626384,0,54,25.4,3
2015-12-23 00:00:00,79,29,,53.680325,0,73.4,22.9,3
2015-12-23 00:00:00,88,50.6802507600246,,39.9999833333333,0,73.4,22.9,3
2015-12-23 00:00:00,129,61.8644111459996,26.1,110.90165,0,64.7,22.1,3
2015-12-23 00:00:00,212,39,,,0,73.4,22.9,3
2015-12-23 00:00:00,266,,,,0,64.7,22.1,3
2015-12-23 00:00:00,308,58,22.5,50.1639375,0,73.4,22.9,3
2015-12-23 00:00:00,360,67.4106596948865,24.2501858652194,78.4918125,0,64.7,22.1,3
2015-12-23 00:00:00,380,64.4471448044897,49.5,,0,64.7,22.1,3
2015-12-23 00:00:00,631,51,,,0,64.7,22.1,3
2015-12-22 00:00:00,1,76.6286983760106,37.8996167180765,84.8868919223436,0,61,24.4,2
2015-12-22 00:00:00,79,29,,71.8032833333333,0,75.7,21.7,2
2015-12-22 00:00:00,88,41.0572594587574,,62.9508,0,75.7,21.7,2
2015-12-22 00:00:00,129,64.5027099969808,29.3,105.2459,0,63.8,21.1,2
2015-12-22 00:00:00,212,32.67,,,0,75.7,21.7,2
2015-12-22 00:00:00,266,,,,0,63.8,21.1,2
2015-12-22 00:00:00,308,60,20.7,49.62295,0,75.7,21.7,2
2015-12-22 00:00:00,360,64.6035373615391,27.3054255547009,102.295085714286,0,63.8,21.1,2
2015-12-22 00:00:00,380,79.1208779318517,52.3,,0,63.8,21.1,2
2015-12-22 00:00:00,631,54,,,0,63.8,21.1,2
2015-12-21 00:00:00,1,65.1204252898374,34.0247759086785,67.4825475955724,0.3,72,22.5,1
2015-12-21 00:00:00,79,24,,52.5737625,0,68.8,22.8,1
2015-12-21 00:00:00,88,37.3281695770101,,61.2295,0,68.8,22.8,1
2015-12-21 00:00:00,129,59.7308283854418,27.4,94.6721375,0,61.4,21.4,1
2015-12-21 00:00:00,212,26.33,,,0,68.8,22.8,1
2015-12-21 00:00:00,266,,,,0,61.4,21.4,1
2015-12-21 00:00:00,308,47,16,25.2541,0,68.8,22.8,1
2015-12-21 00:00:00,360,66.7357689890637,23.6931604483922,64.0082,0,61.4,21.4,1
2015-12-21 00:00:00,380,69.4901461753756,48.2,,0,61.4,21.4,1
2015-12-21 00:00:00,631,49,,,0,61.4,21.4,1
2015-12-20 00:00:00,1,55.0403561583841,34.3420889655749,52.8759698602339,0,65,23.6,0
2015-12-20 00:00:00,79,19,,45.5164125,0,68.4,23.9,0
2015-12-20 00:00:00,88,39.1372691188426,,54.836075,0,68.4,23.9,0
2015-12-20 00:00:00,129,56.4409301790991,23.8,76.2295125,0,62.6,22.2,0
2015-12-20 00:00:00,212,20,,,0,68.4,23.9,0
2015-12-20 00:00:00,266,,,,0,62.6,22.2,0
2015-12-20 00:00:00,308,39,12.2,52.8688375,0,68.4,23.9,0
2015-12-20 00:00:00,360,60.3414067479004,22.3173979836113,51.172125,0,62.6,22.2,0
2015-12-20 00:00:00,380,60.774039785892,39.8,,0,62.6,22.2,0
2015-12-20 00:00:00,631,45,,,0,62.6,22.2,0
2015-12-19 00:00:00,1,72.6611084751731,35.6110914659352,58.8393078059794,12.2,67,23.4,6
2015-12-19 00:00:00,79,14,,54.590175,0,79.2,22.4,6
2015-12-19 00:00:00,88,40.2262097886563,,51.88525,0,79.2,22.4,6
2015-12-19 00:00:00,212,23,,,0,79.2,22.4,6
2015-12-19 00:00:00,266,,,,0,69.1,21.2,6
2015-12-19 00:00:00,308,43,12.5,36.9590125,0,79.2,22.4,6
2015-12-19 00:00:00,360,72.5403236258057,23.674266367674,72.2459,0,69.1,21.2,6
2015-12-19 00:00:00,380,52.3025228249928,48.5,,0,69.1,21.2,6
2015-12-19 00:00:00,631,40,,,0,69.1,21.2,6
2015-12-18 00:00:00,1,91.4419352541494,43.8567820747768,47.3499601128766,0,66,23.5,5
2015-12-18 00:00:00,79,15,,51.39345,0,77.7,22,5
2015-12-18 00:00:00,88,51.6245647292762,,43.5245875,0,77.7,22,5
2015-12-18 00:00:00,129,65.7010770027005,30.7,53.3606625,0,77.1,19.7,5
2015-12-18 00:00:00,212,26,,,0,77.7,22,5
2015-12-18 00:00:00,266,,,,0,77.1,19.7,5
2015-12-18 00:00:00,308,52,20.2,38.3606625,0,77.7,22,5
2015-12-18 00:00:00,360,74.8020592702977,38.2325691362822,66.885225,0,77.1,19.7,5
2015-12-18 00:00:00,380,52.8586310680027,67,,0,77.1,19.7,5
2015-12-18 00:00:00,631,43,,,0,77.1,19.7,5
2015-12-17 00:00:00,1,80.7140937236018,36.2542365400395,58.7865592778409,10.6,65,24,4
2015-12-17 00:00:00,79,16,,33.1967125,0,78.6,22.4,4
2015-12-17 00:00:00,88,49.1562676746779,,55.0819625,0,78.6,22.4,4
2015-12-17 00:00:00,129,64.8298808695605,28.2,81.8852375,0,72,20.8,4
2015-12-17 00:00:00,212,29,,,0,78.6,22.4,4
2015-12-17 00:00:00,266,,,,0,72,20.8,4
2015-12-17 00:00:00,308,50,16.6,46.4754125,0,78.6,22.4,4
2015-12-17 00:00:00,360,75.1897803136377,27.6561974871874,68.434425,0,72,20.8,4
2015-12-17 00:00:00,380,53.6001650267393,56,,0,72,20.8,4
2015-12-17 00:00:00,631,46,,,0,72,20.8,4
2015-12-16 00:00:00,1,77.8928207071675,39.1662302432573,74.2027949567082,0,61,24,3
